;Name;Set;Type;Class;Rarity;Cost;Attack;Health;Abilities;Artist;Text;Quote;Img_link;Subtype
0;"""Little Friend""";Mean Streets of Gadgetzan;Minion;Neutral;;6;6;6;[];A.J. Nazzaro;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/3/3e/-Little_Friend-%2849838%29.png/revision/latest/scale-to-width-down/200?cb=20161202162905;
1;A Light in the Darkness;Whispers of the Old Gods;Spell;Paladin;Common;2;;;['Discover', 'Increment attribute'];Zoltan Boros;Discover a minion. Give it +1/+1.;Wait, how can you have a light in the dark? If you turn on a light while it’s dark, doesn’t that mean it’s no longer dark?;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/d/d5/A_Light_in_the_Darkness%2835237%29.png/revision/latest/scale-to-width-down/200?cb=20161202174742;
2;A New Challenger...;Rastakhan's Rumble;Spell;Paladin;Epic;7;;;['Discover', 'Summon'];James Ryman;Discover a 6-Cost minion. Summon it with Taunt and Divine Shield.;… Arrives? Approaches? TELL US ALREADY!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c4/A_New_Challenger...%2890173%29.png/revision/latest/scale-to-width-down/200?cb=20181130115914;
3;Aberrant Berserker;Whispers of the Old Gods;Minion;Neutral;Common;4;3;5;['Enrage', 'Increment attribute'];Jim Nelson;Has +2 Attack while damaged.;I berserk, therefore I am.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/97/Aberrant_Berserker%2835236%29.png/revision/latest/scale-to-width-down/200?cb=20200305191059;
4;Abominable Bowman;Knights of the Frozen Throne;Minion;Hunter;Epic;7;6;7;['Deathrattle', 'Summon'];L. Lullabi & K. Turovec;Deathrattle: Summon a random friendly Beast that died this game.;Frosty the Bowman... was an angry hateful soul... with a fresh hewn bow and a missing nose...;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/f/f3/Abominable_Bowman%2861829%29.png/revision/latest/scale-to-width-down/200?cb=20200805174109;
5;Abomination;Classic;Minion;Neutral;Rare;5;4;4;['Deal damage', 'Deathrattle', 'Taunt'];Alex Horley Orlandelli;Taunt. Deathrattle: Deal 2 damage to ALL characters.;Abominations enjoy Fresh Meat and long walks on the beach.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/3/37/Abomination%28597%29.png/revision/latest/scale-to-width-down/200?cb=20160323214127;
6;Abusive Sergeant;Classic;Minion;Neutral;Common;1;1;1;['Battlecry', 'Increment attribute'];Luca Zontini;Battlecry: Give a minion +2 Attack this turn.;ADD ME TO YOUR DECK, MAGGOT!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/d/d6/Abusive_Sergeant%28577%29.png/revision/latest/scale-to-width-down/200?cb=20161003225015;
7;Abyssal Destroyer;Descent of Dragons;Minion;Warlock;;1;1;1;['Taunt'];Ivan Fomin;Taunt;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/4/41/Abyssal_Destroyer%28151476%29.png/revision/latest/scale-to-width-down/200?cb=20191206175928;Demon
8;Abyssal Enforcer;Mean Streets of Gadgetzan;Minion;Warlock;Common;7;6;6;['Battlecry', 'Deal damage'];Luke Mancini;Battlecry: Deal 3 damage to all other characters.;The Kabal print this on every package of illicit Mana Crystals: WARNING - DO NOT PUT WITHIN REACH OF ABYSSALS. THIS IS NOT APPROVED FOR USE BY FLAMING DEMONS OF ANY KIND.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/e/ee/Abyssal_Enforcer%2849691%29.png/revision/latest/scale-to-width-down/200?cb=20161202173237;Demon
9;Abyssal Summoner;Descent of Dragons;Minion;Warlock;Common;6;2;2;['Battlecry', 'Summon'];Ivan Fomin;Battlecry: Summon a Demon with Taunt and stats equal to your hand size.;But gnomes have tiny hands...;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/21/Abyssal_Summoner%28151343%29.png/revision/latest/scale-to-width-down/200?cb=20191206174751;
10;Academic Espionage;The Boomsday Project;Spell;Rogue;Epic;4;;;['Generate', 'Modify cost', 'Set attribute', 'Shuffle into deck'];Konstantin Turovec;Shuffle 10 cards from your opponent's class into your deck. They cost (1).;The tenth Pyroblast really felt like overkill.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/a5/Academic_Espionage%2889859%29.png/revision/latest/scale-to-width-down/200?cb=20180802224015;
11;Ace Hunter Kreen;Scholomance Academy;Minion;Demon Hunter;Legendary;3;2;4;['Immune'];James Ryman;Your other characters are Immune while attacking.;This grandmaster marksman loves winning tournaments and eating a bit of ice cream.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/1/13/Ace_Hunter_Kreen%28329891%29.png/revision/latest/scale-to-width-down/200?cb=20200911160649;
12;Acherus Veteran;Knights of the Frozen Throne;Minion;Neutral;Common;1;2;1;['Battlecry', 'Increment attribute'];Luke Mancini;Battlecry: Give a friendly minion +1 Attack.;This is my Runeblade. There are many like it but this one is mine.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/f/fb/Acherus_Veteran%2862948%29.png/revision/latest/scale-to-width-down/200?cb=20170808235518;
13;Acidic Swamp Ooze;Basic;Minion;Neutral;;2;3;2;['Battlecry', 'Destroy'];Chris Rahn;Battlecry: Destroy your opponent's weapon.;Oozes love Flamenco.   Don't ask.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/4/48/Acidic_Swamp_Ooze%2874%29.png/revision/latest/scale-to-width-down/200?cb=20160402214607;
14;Acidmaw;The Grand Tournament;Minion;Hunter;Legendary;7;4;2;['Destroy'];Andrew Hou;Whenever another minion takes damage, destroy it.;With the help of his trusty sidekick Dreadscale, the giant jormungar Acidmaw is ready to face any knight!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/83/Acidmaw%2822393%29.png/revision/latest/scale-to-width-down/200?cb=20200805174129;Beast
15;Acolyte of Agony;Knights of the Frozen Throne;Minion;Priest;Common;3;3;3;['Lifesteal'];Brom;Lifesteal;It takes many years of practiced study in order to fully master agony.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/d/d7/Acolyte_of_Agony%2862886%29.png/revision/latest/scale-to-width-down/200?cb=20170809033027;
16;Acolyte of Pain;Hall of Fame;Minion;Neutral;Common;3;1;3;['Draw cards'];Dave Kendall;Whenever this minion takes damage, draw a card.;He trained when he was younger to be an acolyte of joy, but things didn’t work out like he thought they would.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/82/Acolyte_of_Pain%28428%29.png/revision/latest/scale-to-width-down/200?cb=20200327142906;
17;Acornbearer;Rise of Shadows;Minion;Druid;Common;1;2;1;['Deathrattle', 'Generate'];Steven Prescott;Deathrattle: Add two 1/1 Squirrels to your hand.;You'd be nuts to mess with the squirrel squad.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/e/ee/Acornbearer%2890589%29.png/revision/latest/scale-to-width-down/200?cb=20191103165802;
18;Acrobatics;Madness at the Darkmoon Faire;Spell;Demon Hunter;Common;3;;;['Draw cards'];James Ryman;Draw 2 cards. If you play both this turn, draw 2 more.;He soars through the air with the greatest of fleas.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/3/37/Acrobatics%28388995%29.png/revision/latest/scale-to-width-down/200?cb=20201113112606;
19;Activate the Obelisk;Saviors of Uldum;Spell;Priest;Legendary;1;;;['Quest', 'Replace Hero Power'];J. Axer;Quest: Restore 15 Health.Reward: Obelisk's Eye.;A one-eyed, one stone, towering purple minion healer.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/d/d5/Activate_the_Obelisk%2890796%29.png/revision/latest/scale-to-width-down/200?cb=20191105175454;
20;Adaptation;Journey to Un'Goro;Spell;Paladin;Common;1;;;['Adapt'];Hideaki Takamura;Adapt a friendly minion.;Pray for salvation. If that fails, pray for extra horns or bigger teeth.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/e/ee/Adaptation%2855566%29.png/revision/latest/scale-to-width-down/200?cb=20170407141351;
21;Addled Grizzly;Whispers of the Old Gods;Minion;Druid;Rare;3;2;2;['Increment attribute'];Andrew Hou;After you summon a minion, give it +1/+1.;"Druids who spend too long in bear form are more susceptible to the whispers of the Old Gods. Right now they are whispering the lyrics to ""La Bamba"".";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/22/Addled_Grizzly%2835235%29.png/revision/latest/scale-to-width-down/200?cb=20160426225633;Beast
22;Adorable Infestation;Scholomance Academy;Spell;Hunter;Common;1;;;['Generate', 'Increment attribute', 'Summon'];Ivan Fomin;Give a minion +1/+1. Summon a 1/1 Cub. Add a Cub to your hand.;"Some cards are strong by sheer power; others draw strength from love.";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/ca/Adorable_Infestation%28329915%29.png/revision/latest/scale-to-width-down/200?cb=20200911160127;
23;Aeon Reaver;Galakrond's Awakening;Minion;Priest;Common;6;4;4;['Battlecry', 'Deal damage'];A.J. Nazzaro;Battlecry: Deal damage to a minion equal to its Attack.;Ripping centuries asunder helps him manage his busy schedule.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/cd/Aeon_Reaver%28184655%29.png/revision/latest/scale-to-width-down/200?cb=20201003111413;Dragon
24;Aeroponics;Descent of Dragons;Spell;Druid;Rare;5;;;['Draw cards', 'Increment attribute', 'Modify cost'];Sam Nielson;Draw 2 cards. Costs (2) less for each Treant you control.;Good seeds can go far.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/8b/Aeroponics%28151429%29.png/revision/latest/scale-to-width-down/200?cb=20191206140238;
25;Air Elemental;Journey to Un'Goro;Minion;Shaman;Common;1;2;1;['Elusive'];Evgeniy Dlinnov;Can't be targeted by spells or Hero Powers.;Makes a mean puff pastry.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/1/1d/Air_Elemental%2855549%29.png/revision/latest/scale-to-width-down/200?cb=20170407160547;Elemental
26;Air Raid;Galakrond's Awakening;Spell;Paladin;Rare;2;;;['Generate', 'Summon', 'Twinspell'];Ivan Fomin;TwinspellSummon two 1/1 Silver Hand Recruits with Taunt.;It's difficult to get an air raid together. You have to get twenty-five people, and they all want to play a paladin!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/ab/Air_Raid%28184657%29.png/revision/latest/scale-to-width-down/200?cb=20201003111003;
27;Air Raid (Twinspell);Galakrond's Awakening;Spell;Paladin;Rare;2;;;['Increment attribute', 'Summon'];Ivan Fomin;Summon two 1/1 Silver Hand Recruits with Taunt.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/93/Air_Raid%28184961%29.png/revision/latest/scale-to-width-down/200?cb=20201003110957;
28;Akali, the Rhino;Rastakhan's Rumble;Minion;Warrior;Legendary;8;5;5;['Increment attribute', 'Overkill', 'Put into hand', 'Rush'];Jim Nelson;Rush, Overkill: Draw a Rush minion and give it +5/+5.;Most trolls only get to “AAAAHHH!” and don’t make it to the “kali” part.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/ad/Akali%2C_the_Rhino%2890220%29.png/revision/latest/scale-to-width-down/200?cb=20181130135632;Beast
29;Akama;Ashes of Outland;Minion;Rogue;Legendary;3;3;4;['Deathrattle', 'Generate', 'Shuffle into deck', 'Stealth'];James Ryman;StealthDeathrattle: Shuffle 'Akama Prime' into your deck.;"""To many of my people, I am known as a traitor... as Illidan's lapdog. I will remain in the shadows, for now... Actually, maybe I'll just remain in the shadows forever.""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/1/1b/Akama%28210728%29.png/revision/latest/scale-to-width-down/200?cb=20201007135221;
